Name,Average.coverage,Reference.length
contig-120_7_68,1.237,359
contig-120_7_70,0.509,269
contig-120_7_80,0.571,788
contig-120_7_84,0.979,613
contig-120_7_89,0.293,1024
contig-120_7_90,0.829,181
contig-120_7_91,1.111,270
contig-120_7_92,0.369,407
contig-120_7_93,0.326,921
contig-120_7_94,0.815,368
contig-120_7_95,0.942,955
contig-120_7_98,0.606,495
contig-120_7_100,1.318,2048
contig-120_7_101,0.885,339
contig-120_7_102,0.235,1275
contig-120_7_103,1.000,300
contig-120_7_106,0.524,573
contig-120_7_107,0.314,1422
contig-120_7_108,1.018,437
contig-120_7_110,0.806,372
contig-120_7_111,0.416,721
contig-120_7_113,1.115,269
contig-120_7_114,2.702,600
contig-120_7_115,3.548,759
contig-120_7_116,0.493,576
contig-120_7_117,2.273,264
contig-120_7_118,2.951,1455
contig-120_7_119,0.949,293
contig-120_7_122,0.423,710
contig-120_7_127,2.674,276
contig-120_7_128,0.833,2881
contig-120_7_129,1.105,267
contig-120_7_130,3.896,2763
contig-120_7_131,1.714,350
contig-120_7_132,0.777,1334
contig-120_7_133,0.420,715
contig-120_7_136,0.545,275
contig-120_7_137,2.497,165
contig-120_7_138,1.639,183
contig-120_7_139,0.625,480
contig-120_7_142,1.000,139
contig-120_7_143,0.202,1484
contig-120_7_144,3.792,1059
contig-120_7_145,0.455,659
contig-120_7_146,0.817,367
contig-120_8_12,0.693,433
contig-120_8_13,0.626,479
contig-120_8_42,0.421,713
contig-120_8_71,0.212,680
contig-120_8_96,0.381,394
contig-120_9_20,0.743,202
contig-120_9_26,0.923,325
contig-120_9_27,0.431,348
contig-120_9_50,2.100,491
contig-120_9_57,0.438,1329
contig-120_9_67,0.165,1813
contig-120_9_89,0.466,609
contig-120_9_102,0.741,375
contig-120_9_103,0.716,419
contig-120_9_110,3.017,348
contig-120_9_120,1.157,249
contig-120_9_141,0.993,141
contig-120_9_156,0.444,329
contig-120_10_2,0.390,1539
contig-120_10_5,0.508,590
contig-120_10_6,1.266,710
contig-120_10_9,8.179,252
contig-120_10_12,0.647,1837
contig-120_10_13,1.000,140
contig-120_10_14,0.796,377
contig-120_10_15,0.841,710
contig-120_10_16,4.108,1447
contig-120_10_17,12.888,984
contig-120_10_18,7.710,404
contig-120_10_20,0.405,4784
contig-120_10_22,0.252,595
contig-120_10_23,2.732,213
contig-120_10_24,0.501,599
contig-120_10_29,0.209,1386
contig-120_10_30,0.193,776
contig-120_10_32,1.176,255
contig-120_10_36,0.278,1078
contig-120_10_40,0.243,519
contig-120_10_41,0.310,969
contig-120_10_43,0.666,901
contig-120_10_45,17.188,223
contig-120_10_49,0.872,172
contig-120_10_52,0.559,1074
contig-120_10_54,0.903,154
contig-120_10_56,0.873,1375
contig-120_10_57,0.284,529
contig-120_10_59,1.000,130
contig-120_10_60,0.723,1038
contig-120_10_62,0.867,1730
contig-120_10_63,0.305,984
contig-120_10_64,4.119,437
contig-120_10_68,0.266,1129
contig-120_10_69,0.796,377
contig-120_10_71,0.916,961
contig-120_10_72,0.235,612
contig-120_10_74,0.548,263
contig-120_10_75,1.282,234
contig-120_10_78,0.880,341
contig-120_10_79,0.718,418
contig-120_10_82,0.888,338
contig-120_10_85,0.699,429
contig-120_10_86,0.485,619
contig-120_10_87,0.636,236
contig-120_10_88,0.419,1073
contig-120_10_89,1.100,409
contig-120_10_90,2.751,1847
contig-120_10_92,1.690,710
contig-120_10_95,0.305,985
contig-120_10_96,0.331,907
contig-120_10_97,0.086,1596
contig-120_10_99,0.238,1242
contig-120_10_100,13.848,322
contig-120_10_106,2.190,274
contig-120_10_107,0.338,888
contig-120_10_108,1.312,343
contig-120_10_110,0.519,578
contig-120_10_111,7.449,196
contig-120_10_112,1.024,293
contig-120_10_118,0.904,166
contig-120_10_121,0.299,501
contig-120_10_123,0.852,352
contig-120_10_125,0.062,2430
contig-120_11_1,0.881,1500
contig-120_11_2,0.411,1094
contig-120_11_3,16.616,258
contig-120_11_4,31.478,318
contig-120_11_5,3.160,2031
contig-120_11_6,2.734,711
contig-120_11_7,3.812,2106
contig-120_11_8,0.576,1041
contig-120_11_9,0.772,2124
contig-120_11_10,1.671,359
contig-120_11_11,1.520,592
contig-120_11_12,8.808,1035
contig-120_11_13,3.647,329
contig-120_11_14,1.786,1334
contig-120_11_15,4.169,1246
contig-120_11_16,6.236,644
contig-120_11_17,8.723,1352
contig-120_11_18,1.634,2105
contig-120_11_19,0.369,407
contig-120_11_20,4.827,271
contig-120_11_21,2.356,2036
contig-120_11_22,1.813,331
contig-120_11_23,2.000,373
contig-120_11_24,0.845,355
contig-120_11_25,0.353,849
contig-120_11_26,0.305,1965
contig-120_11_27,0.410,732
contig-120_11_32,1.853,798
contig-120_11_33,4.041,440
contig-120_11_34,1.485,1212
contig-120_11_36,4.866,426
contig-120_11_37,0.556,810
contig-120_11_38,0.602,498
contig-120_11_39,0.621,1192
contig-120_11_40,2.465,664
contig-120_11_42,11.479,480
contig-120_11_43,6.639,610
contig-120_11_45,1.448,1031
contig-120_11_46,0.485,618
contig-120_11_47,2.822,738
contig-120_11_48,0.637,471
contig-120_11_49,1.211,740
contig-120_11_50,3.717,948
contig-120_11_51,1.869,321
contig-120_11_52,0.857,350
contig-120_11_56,7.820,266
contig-120_11_58,1.141,263
contig-120_11_60,0.593,1012
contig-120_11_61,4.673,666
contig-120_11_63,0.262,1715
contig-120_11_65,0.616,237
contig-120_11_67,1.664,1343
contig-120_11_68,10.825,183
contig-120_11_69,19.857,441
contig-120_11_70,53.902,501
contig-120_11_71,2.667,225
contig-120_11_74,0.283,1059
contig-120_11_75,1.859,481
contig-120_11_78,3.613,1577
contig-120_11_79,1.774,672
contig-120_11_80,2.212,339
contig-120_11_82,2.665,783
contig-120_11_83,2.213,677
contig-120_11_84,2.036,663
contig-120_11_85,5.466,2682
contig-120_11_86,2.732,653
contig-120_11_87,1.366,659
contig-120_11_88,7.275,1451
contig-120_11_89,1.369,1080
contig-120_11_90,6.438,233
contig-120_11_91,3.496,1372
contig-120_11_93,1.359,2429
contig-120_11_94,3.167,186
contig-120_11_96,6.152,2010
contig-120_11_97,4.313,1355
contig-120_11_98,6.572,1341
contig-120_11_99,1.871,474
contig-120_11_100,1.693,1414
contig-120_11_101,1.010,3110
contig-120_11_102,3.161,893
contig-120_11_104,4.102,914
contig-120_11_105,3.235,371
contig-120_11_106,0.412,728
contig-120_11_108,2.236,738
contig-120_11_109,6.092,932
contig-120_12_4,0.598,251
contig-120_12_19,0.485,618
contig-120_12_21,0.691,217
contig-120_12_22,0.255,588
contig-120_12_23,0.758,198
contig-120_12_24,1.235,486
contig-120_12_28,1.181,762
contig-120_12_56,0.743,808
contig-120_12_59,0.714,420
contig-120_12_61,0.417,720
contig-120_12_62,0.480,588
contig-120_12_65,0.428,701
contig-120_12_69,0.771,389
contig-120_12_70,1.347,334
contig-120_12_71,0.610,479
contig-120_12_73,0.658,228
contig-120_12_79,0.896,830
contig-120_12_80,1.310,229
contig-120_12_81,1.339,224
contig-120_12_111,0.713,421
contig-120_12_113,1.282,468
contig-120_12_118,0.867,346
contig-120_12_125,0.725,414
contig-120_13_4,0.974,308
contig-120_13_6,13.886,1058
contig-120_13_8,2.899,505
contig-120_13_9,9.783,1206
contig-120_13_10,3.451,2361
contig-120_13_11,11.705,946
contig-120_13_12,5.616,641
contig-120_13_13,2.386,249
contig-120_13_14,12.932,517
contig-120_13_15,5.988,964
contig-120_13_16,7.444,1712
contig-120_13_17,6.294,496
contig-120_13_18,1.323,663
contig-120_13_20,7.741,1388
contig-120_13_21,14.794,1350
contig-120_13_22,84.409,516
contig-120_13_23,67.957,444
contig-120_13_25,1.019,1304
contig-120_13_26,2.653,622
contig-120_13_27,7.754,3129
contig-120_13_28,0.403,745
contig-120_13_29,2.645,397
contig-120_13_30,3.502,1404
contig-120_13_31,9.450,411
contig-120_13_32,3.902,1649
contig-120_13_33,2.228,404
contig-120_13_34,3.789,871
contig-120_13_35,1.033,1162
contig-120_13_36,134.494,753
contig-120_13_37,86.931,1035
contig-120_13_38,106.174,609
contig-120_13_39,102.765,405
contig-120_13_40,111.167,378
contig-120_13_42,257.946,222
contig-120_13_45,2.662,1631
contig-120_13_46,34.396,480
contig-120_13_47,5.694,1022
contig-120_13_48,13.513,2182
contig-120_13_49,7.441,1830
contig-120_13_50,8.033,855
contig-120_13_51,0.892,673
contig-120_13_52,40.843,561
contig-120_13_53,29.606,1314
contig-120_13_54,126.434,486
contig-120_13_55,92.863,183
contig-120_13_56,114.919,651
contig-120_13_57,53.760,375
contig-120_13_58,84.788,537
contig-120_13_59,79.810,399
contig-120_13_60,69.930,186
contig-120_13_61,109.884,561
contig-120_13_62,105.497,348
contig-120_13_63,106.339,369
contig-120_13_64,160.207,300
contig-120_13_65,93.840,237
contig-120_13_66,78.974,420
contig-120_13_67,112.354,804
contig-120_13_68,128.068,399
contig-120_13_69,94.745,282
contig-120_13_70,192.706,837
contig-120_13_71,114.797,300
contig-120_13_72,152.164,801
contig-120_13_73,189.268,654
contig-120_13_74,219.841,309
contig-120_13_75,0.988,600
contig-120_13_76,0.746,804
contig-120_13_77,232.164,1197
contig-120_13_78,73.279,2115
contig-120_13_79,103.518,471
contig-120_13_80,105.176,375
contig-120_13_81,3.875,534
contig-120_13_82,70.808,3891
contig-120_13_83,83.701,3489
contig-120_13_84,324.969,390
contig-120_13_85,311.601,624
contig-120_13_86,7.134,560
contig-120_13_87,4.219,1135
contig-120_13_88,78.370,717
contig-120_13_89,91.772,435
contig-120_13_90,40.479,893
contig-120_13_91,38.067,267
contig-120_13_92,11.361,1148
contig-120_13_93,14.881,504
contig-120_13_94,4.814,1047
contig-120_13_95,1.638,456
contig-120_13_96,5.647,956
contig-120_13_97,5.476,422
contig-120_13_98,14.508,449
contig-120_13_99,47.685,168
contig-120_13_100,1.324,669
contig-120_13_101,6.993,762
contig-120_13_102,7.288,798
contig-120_13_103,3.843,1521
contig-120_13_104,4.703,3602
contig-120_13_105,1.823,549
contig-120_13_106,2.692,263
contig-120_13_107,11.297,3243
contig-120_13_108,5.807,409
contig-120_13_109,1.901,2681
contig-120_13_110,5.274,711
contig-120_13_111,16.954,809
contig-120_13_112,17.762,849
contig-120_13_113,19.345,2478
contig-120_13_114,19.907,503
contig-120_13_115,2.394,1001
contig-120_13_116,0.388,387
contig-120_14_1,0.542,553
contig-120_14_2,1.141,263
contig-120_14_15,2.681,379
contig-120_14_31,0.525,562
contig-120_14_44,0.488,615
contig-120_14_47,0.505,297
contig-120_14_48,0.802,187
contig-120_14_51,1.800,165
contig-120_14_64,0.126,1186
contig-120_14_76,2.098,286
contig-120_14_77,0.824,364
contig-120_14_83,1.132,265
contig-120_14_84,0.598,502
contig-120_14_89,1.230,244
contig-120_14_117,0.598,502
contig-120_14_125,0.750,200
contig-120_14_140,0.721,398
contig-120_14_147,0.754,398
contig-120_15_2,0.549,273
contig-120_15_4,0.693,1298
contig-120_15_10,1.435,209
contig-120_15_28,0.890,337
contig-120_15_159,0.676,1332
contig-120_15_175,0.652,230
contig-120_15_180,0.510,294
contig-120_15_182,1.458,297
contig-120_16_2,0.553,2161
contig-120_16_7,0.357,2490
contig-120_16_8,2.448,1765
contig-120_16_11,0.855,1499
contig-120_16_12,3.507,339
contig-120_16_13,2.113,284
contig-120_16_14,0.404,3688
contig-120_16_15,5.050,888
contig-120_16_16,4.578,557
contig-120_16_17,6.626,222
contig-120_16_21,0.765,196
contig-120_16_24,0.333,858
contig-120_16_25,0.851,174
contig-120_16_26,2.747,367
contig-120_16_29,0.395,380
contig-120_16_30,1.817,246
contig-120_16_32,0.525,2570
contig-120_16_34,0.990,303
contig-120_16_35,1.062,989
contig-120_16_37,0.633,671
contig-120_16_38,2.590,166
contig-120_16_40,0.962,156
contig-120_16_43,0.583,1287
contig-120_16_45,0.171,879
contig-120_16_47,0.649,911
contig-120_16_50,1.597,367
contig-120_16_51,0.467,306
contig-120_16_56,0.837,873
contig-120_16_57,0.333,417
contig-120_16_58,1.261,238
contig-120_16_61,2.830,318
contig-120_16_62,2.632,342
contig-120_16_63,1.257,358
contig-120_16_64,1.081,555
contig-120_16_65,0.363,1653
contig-120_16_69,0.558,269
contig-120_16_71,1.071,840
contig-120_16_72,1.394,203
contig-120_16_73,0.912,651
contig-120_16_76,13.996,1308
contig-120_16_77,7.444,806
contig-120_16_78,1.581,654
contig-120_16_79,0.216,695
contig-120_16_80,0.095,1579
contig-120_16_81,2.422,495
contig-120_16_82,3.218,2233
contig-120_16_83,0.800,375
contig-120_16_84,1.437,625
contig-120_16_88,1.571,191
contig-120_16_89,1.435,200
contig-120_16_90,0.298,6034
contig-120_16_91,0.434,1704
contig-120_16_92,0.231,2601
contig-120_16_93,0.644,2797
contig-120_16_94,0.552,5938
contig-120_16_95,0.233,1287
contig-120_16_97,0.172,1749
contig-120_16_98,0.708,414
contig-120_17_8,1.863,161
contig-120_17_19,0.487,616
contig-120_17_20,0.190,791
contig-120_17_21,0.769,390
contig-120_17_36,0.532,1125
contig-120_17_44,0.962,156
contig-120_17_91,0.474,633
contig-120_17_137,0.993,136
contig-120_17_147,0.282,1063
contig-120_18_2,0.459,641
contig-120_18_17,8.940,420
contig-120_18_18,2.601,273
contig-120_18_19,1.452,620
contig-120_18_20,1.818,165
contig-120_18_22,0.379,792
contig-120_18_38,1.062,565
contig-120_18_42,0.240,1251
contig-120_18_44,0.685,219
contig-120_18_45,0.363,826
contig-120_18_49,0.951,473
contig-120_18_51,0.935,321
contig-120_18_53,0.943,636
contig-120_18_54,0.593,506
contig-120_18_62,0.340,883
contig-120_18_64,1.818,330
contig-120_18_66,0.339,886
contig-120_18_70,0.948,306
contig-120_18_100,0.156,4757
contig-120_18_101,0.792,336
contig-120_18_102,0.690,435
contig-120_19_1,1.523,1658
contig-120_19_2,0.467,321
contig-120_19_4,3.558,960
contig-120_19_5,0.552,815
contig-120_19_6,0.503,894
contig-120_19_7,3.177,282
contig-120_19_8,2.397,751
contig-120_19_10,0.564,532
contig-120_19_11,1.770,742
contig-120_19_12,3.861,504
contig-120_19_14,3.887,1919
contig-120_19_15,2.722,2090
contig-120_19_18,1.585,568
contig-120_19_19,8.789,733
contig-120_19_22,0.987,304
contig-120_19_23,1.041,705
contig-120_19_24,1.491,503
contig-120_19_25,1.255,239
contig-120_19_26,0.686,1514
contig-120_19_27,0.545,1101
contig-120_19_28,0.971,1061
contig-120_19_29,1.435,1870
contig-120_19_31,0.712,632
contig-120_19_32,1.244,463
contig-120_19_33,3.610,374
contig-120_19_34,0.904,332
contig-120_19_35,11.598,1185
contig-120_19_36,2.128,1762
contig-120_19_37,7.488,1080
contig-120_19_38,1.848,487
contig-120_19_40,0.870,690
contig-120_19_41,0.337,890
contig-120_19_42,1.571,758
contig-120_19_43,1.145,393
contig-120_19_44,1.103,1085
contig-120_19_45,3.273,501
contig-120_19_46,4.000,1425
contig-120_19_47,4.150,647
contig-120_19_48,0.695,863
contig-120_19_49,4.011,374
contig-120_19_50,0.738,187
contig-120_19_52,0.833,360
contig-120_19_55,1.176,510
contig-120_19_56,0.361,797
contig-120_19_57,1.020,294
contig-120_19_58,0.779,385
contig-120_19_59,0.387,1551
contig-120_19_60,1.110,1486
contig-120_19_61,1.497,1102
contig-120_19_62,1.914,699
contig-120_19_63,2.124,631
contig-120_19_64,1.140,1842
contig-120_19_66,0.609,986
contig-120_19_67,0.771,389
contig-120_19_68,1.126,1727
contig-120_19_69,0.441,340
contig-120_19_70,0.764,1768
contig-120_19_71,1.277,1399
contig-120_19_72,3.516,337
contig-120_19_73,1.493,402
contig-120_19_74,2.676,2176
contig-120_19_75,0.904,488
contig-120_19_76,1.659,622
contig-120_19_77,14.343,1181
contig-120_19_78,0.904,332
contig-120_19_79,4.688,1344
contig-120_19_80,1.286,933
contig-120_19_81,2.442,983
contig-120_19_83,11.266,489
contig-120_19_84,11.210,423
contig-120_19_85,8.003,312
contig-120_19_86,1.272,1513
contig-120_19_88,2.493,1560
contig-120_19_89,0.714,1891
contig-120_19_91,0.651,450
contig-120_19_92,1.894,871
contig-120_19_93,2.741,1037
contig-120_19_95,7.134,1280
contig-120_20_1,1.000,292
contig-120_20_2,1.758,512
contig-120_20_3,0.097,1546
contig-120_20_4,14.041,3465
contig-120_20_5,17.129,3885
contig-120_20_6,0.372,1209
contig-120_20_9,1.053,285
contig-120_20_11,2.791,215
contig-120_20_12,0.750,400
contig-120_20_13,4.188,393
contig-120_20_22,0.630,3085
contig-120_20_23,1.232,1096
contig-120_20_24,1.582,569
contig-120_20_25,3.194,609
contig-120_20_26,0.765,196
contig-120_20_27,0.563,533
contig-120_20_28,1.976,759
contig-120_20_29,7.166,507
contig-120_20_30,1.131,627
contig-120_20_31,14.979,375
contig-120_20_32,19.121,471
contig-120_20_33,8.331,2101
contig-120_20_34,31.981,1194
contig-120_20_35,13.922,309
contig-120_20_36,14.452,650
contig-120_20_37,16.615,672
contig-120_20_38,18.503,300
contig-120_20_39,19.090,837
contig-120_20_40,14.635,282
contig-120_20_41,13.950,360
contig-120_20_42,17.280,839
contig-120_20_43,14.241,419
contig-120_20_44,24.996,234
contig-120_20_45,23.468,278
contig-120_20_46,20.288,368
contig-120_20_47,17.598,363
contig-120_20_48,16.246,569
contig-120_20_49,16.183,186
contig-120_20_50,14.188,404
contig-120_20_51,9.809,540
contig-120_20_52,13.331,381
contig-120_20_53,11.672,582
contig-120_20_54,8.476,189
contig-120_20_55,21.876,444
contig-120_20_56,5.400,1246
contig-120_20_58,17.248,564
contig-120_20_59,1.878,1262
contig-120_20_61,2.016,744
contig-120_20_62,36.509,222
contig-120_20_64,15.011,372
contig-120_20_65,20.773,396
contig-120_20_66,19.196,627
contig-120_20_67,15.813,1014
contig-120_20_68,16.279,587
contig-120_20_70,16.613,473
contig-120_20_71,20.056,483
contig-120_20_72,3.169,1278
contig-120_20_73,1.837,1715
contig-120_20_74,0.664,226
contig-120_20_75,0.677,1321
contig-120_20_76,0.779,1156
contig-120_20_77,0.290,1034
contig-120_20_80,0.898,492
contig-120_20_81,0.765,980
contig-120_20_82,2.311,702
contig-120_20_83,26.350,300
contig-120_20_84,6.223,1635
contig-120_20_86,0.508,590
contig-120_20_87,8.000,611
contig-120_20_88,2.854,1431
contig-120_20_89,0.679,442
contig-120_20_90,4.207,1545
contig-120_20_91,2.220,1081
contig-120_20_92,1.533,1751
contig-120_20_93,2.341,1594
contig-120_20_94,2.822,1697
contig-120_20_95,7.629,469
contig-120_20_96,1.855,1359
contig-120_20_97,0.826,1090
contig-120_20_98,3.009,343
contig-120_20_99,1.868,562
contig-120_20_100,0.155,967
contig-120_20_101,0.158,939
contig-120_20_102,1.884,637
contig-120_20_103,1.095,548
contig-120_20_104,3.447,993
contig-120_20_105,1.392,204
contig-120_20_106,12.533,1179
contig-120_20_107,14.357,885
contig-120_21_1,0.155,1930
contig-120_21_6,0.658,456
contig-120_21_12,0.845,355
contig-120_21_16,0.986,141
contig-120_21_19,1.000,132
contig-120_21_23,0.468,641
contig-120_21_24,1.742,426
contig-120_21_25,1.382,217
contig-120_21_26,0.276,543
contig-120_21_29,1.992,131
contig-120_21_38,0.380,790
contig-120_21_39,1.571,382
contig-120_21_57,1.057,404
contig-120_21_58,0.662,429
contig-120_21_59,0.369,812
contig-120_21_63,0.932,161
contig-120_21_69,0.366,410
contig-120_21_77,1.091,275
contig-120_21_80,1.107,271
contig-120_21_83,0.515,266
contig-120_21_88,0.292,1029
contig-120_21_89,0.476,315
contig-120_21_94,0.987,1035
contig-120_21_99,0.172,874
contig-120_21_100,0.430,698
contig-120_21_106,0.353,425
contig-120_21_109,0.319,1878
contig-120_21_119,0.401,748
contig-120_22_2,1.024,586
contig-120_22_3,3.222,4554
contig-120_22_4,5.154,1451
contig-120_22_6,1.386,433
contig-120_22_8,0.491,1223
contig-120_22_9,2.275,783
contig-120_22_10,0.909,4448
contig-120_22_11,0.845,343
contig-120_22_12,0.443,1355
contig-120_22_13,0.530,1970
contig-120_22_14,0.169,2660
contig-120_22_15,0.499,1803
contig-120_22_16,1.792,1489
contig-120_22_17,1.271,354
contig-120_22_18,2.178,551
contig-120_22_19,1.571,573
contig-120_22_20,0.775,1161
contig-120_22_21,5.125,1017
contig-120_22_22,4.034,1190
contig-120_22_23,2.520,893
contig-120_22_24,2.492,945
contig-120_22_25,8.198,1671
contig-120_22_27,2.672,613
contig-120_22_28,1.351,1104
contig-120_22_29,1.482,1206
contig-120_22_30,1.360,1434
contig-120_22_32,0.408,735
contig-120_22_33,2.837,423
contig-120_22_34,1.416,1251
contig-120_22_36,7.469,318
contig-120_22_37,1.659,1166
contig-120_22_38,0.166,831
contig-120_22_39,3.081,1363
contig-120_22_40,27.100,180
contig-120_22_41,1.994,977
contig-120_22_42,3.130,761
contig-120_22_43,2.382,749
contig-120_22_45,0.301,498
contig-120_22_46,1.139,790
contig-120_22_47,1.579,190
contig-120_22_48,1.085,553
contig-120_22_49,1.599,2153
contig-120_22_50,1.232,487
contig-120_22_51,1.249,3112
contig-120_22_52,1.435,209
contig-120_22_53,1.229,595
contig-120_22_54,2.455,903
contig-120_22_55,4.193,783
contig-120_22_56,4.540,1024
contig-120_22_57,3.618,1980
contig-120_22_59,2.857,315
contig-120_22_60,2.571,700
contig-120_22_61,3.026,840
contig-120_22_62,0.941,1594
contig-120_22_64,3.659,405
contig-120_22_65,1.351,211
contig-120_22_66,3.030,567
contig-120_22_68,2.597,231
contig-120_22_69,1.033,1155
contig-120_22_70,1.556,666
contig-120_22_71,0.938,1119
contig-120_22_72,4.021,485
contig-120_22_73,28.105,237
contig-120_22_75,4.051,1730
contig-120_22_76,0.939,1267
contig-120_22_77,1.264,1180
contig-120_22_78,1.956,1454
contig-120_22_79,5.113,195
contig-120_22_80,3.763,860
contig-120_22_81,0.629,456
contig-120_23_34,0.163,811
contig-120_23_36,0.348,862
contig-120_23_82,1.886,378
contig-120_24_2,2.419,186
contig-120_24_3,2.848,158
contig-120_24_4,12.119,411
contig-120_24_5,6.858,318
contig-120_24_6,3.478,414
contig-120_24_7,6.054,223
contig-120_24_8,4.064,843
contig-120_24_9,3.426,563
contig-120_24_10,13.713,1800
contig-120_24_13,0.866,1559
contig-120_24_14,0.859,1032
contig-120_24_15,3.972,1089
contig-120_24_16,2.564,344
contig-120_24_17,1.709,958
contig-120_24_18,0.732,1230
contig-120_24_19,1.378,1523
contig-120_24_20,6.062,1064
contig-120_24_21,3.751,993
contig-120_24_23,1.284,584
contig-120_24_24,1.088,948
contig-120_24_25,0.662,453
